id,avgspeed,cars
8310,18.0,1
8337,46.0,2
8363,50.0,1
8371,12.0,1
8372,20.0,1
8374,9.0,1
8379,4.0,2
8390,38.0,1
8401,38.0,1
8413,71.0,1
8424,110.0,1
8432,44.0,1
8450,29.0,2
8455,17.0,1
8469,47.0,1
8470,25.0,1
8473,28.0,1
8474,13.0,1
8477,25.0,3
8478,27.0,4
8485,26.0,1
8489,108.0,1
8498,65.0,1
8516,91.0,1
8541,5.0,6
8552,79.0,1
8574,52.0,1
8576,26.0,1
8578,47.0,1
8583,81.0,1
8596,77.0,3
8598,91.0,1
8616,75.0,1
8622,95.0,2
8631,38.0,1
8653,18.0,1
8670,20.0,1
8672,2.0,1
8673,29.0,2
8676,25.0,1
8701,9.0,1
8702,78.0,1
8716,14.0,3
8721,118.0,1
8730,31.0,2
8732,55.0,1
8733,9.0,1
8734,17.0,1
8736,20.0,1
8737,22.0,4
8741,54.0,1
8749,8.0,1
8756,85.0,2
8770,75.0,1
8773,18.0,1
8783,73.0,1
8820,92.0,2
8825,28.0,1
8836,13.0,1
8844,73.0,1
8860,34.0,1
8870,22.0,2
8874,2.0,1
8883,94.0,1
8901,6.0,12
8918,94.0,1
8926,23.0,1
8928,63.0,1
8953,34.0,2
8955,10.0,1
8956,14.0,2
8960,106.0,2
8961,81.0,1
8962,103.0,2
8969,38.0,1
8973,12.0,2
8981,25.0,1
9017,41.0,1
9028,60.0,1
9035,10.0,1
9050,18.0,1
9051,28.0,2
9057,12.0,1
9064,58.0,1
9065,91.0,1
9066,44.0,1
9070,28.0,1
9072,28.0,1
9074,7.0,1
9082,35.0,2
9115,95.0,1
9116,76.0,2
9148,20.0,1
9157,15.0,1
9160,39.0,1
9165,47.0,1
9172,70.0,1
9174,66.0,1
9184,50.0,1
9215,79.0,1
9222,21.0,1
9225,25.0,1
9233,12.0,1
9256,13.0,1
9277,95.0,3
9305,5.0,1
9306,34.0,2
9325,37.0,2
9326,28.0,1
9345,97.0,1
9372,17.0,1
9373,55.0,1
9378,42.0,1
9383,7.0,1
9406,8.0,2
9412,97.0,1
9422,9.0,1
9423,12.0,1
9452,55.0,1
9463,15.0,1
9469,38.0,2
9485,49.0,1
9486,19.0,2
9506,52.0,1
9507,31.0,1
9510,105.0,1
9528,50.0,1
9547,38.0,1
9549,76.0,1
9555,29.0,1
9556,52.0,1
9558,54.0,1
9563,57.0,1
9577,24.0,3
9606,33.0,1
9608,41.0,2
9609,107.0,1
9610,118.0,1
9659,31.0,1
9669,26.0,4
9716,76.0,2
9721,65.0,1
9764,12.0,0
9769,9.0,1
9777,42.0,1
9822,12.0,3
9823,23.0,1
9865,2.0,1
9866,4.0,1
9921,19.0,2
9922,41.0,1
9944,36.0,1
97,105.0,1
100,62.0,1
